Station,Depth_m,No_Agg,Equivalent spherical diameter_mm_,sinking velocity_m/d_,SD
EG-IV,30,1,1.048338804,39.13612275,2.07793282
EG-IV,30,2,1.422814658,38.74739665,2.200845637
EG-IV,30,3,0.986524585,40.08283464,2.457206701
EG-IV,30,4,0.952479014,42.08321635,1.849320353
EG-IV,30,5,1.422814658,35.94682486,1.764582499
EG-IV,30,6,1.591687025,93.20520537,6.977933804
EG-IV,30,7,0.83206706,26.19865272,0.071923207
EG-IV,30,8,0.83206706,23.33492793,0.016847126
EG-IV,30,9,0.915808299,28.46017853,5.124025083
EG-IV,30,10,0.755983094,70.70120538,3.646083609
EG-IV,30,11,1.24294309,67.77939881,2.0858714
EG-IV,30,12,0.896317069,22.08002601,0.46159233
EG-IV,30,13,0.645397467,19.96027203,0.442780355
EG-IV,30,14,1.002699994,48.14534167,4.471651974
EG-IV,30,15,1.63119485,25.68214658,2.56181637
EG-IV,30,16,1.091975581,37.8160017,0.621190039
EG-IV,30,17,0.896317069,48.13565823,0.301177029
EG-IV,30,18,0.986524585,24.73313454,0.48647571
EG-IV,30,19,0.576923077,5.815385939,0.490417692
EG-I,20,20,0.524169402,27.47364868,3.425161151
EG-I,20,21,0.726877529,41.07427833,3.94510736
EG-I,20,22,1.200048359,32.09798477,1.408250479
EG-I,20,23,0.586382514,44.00566319,2.555526137
EG-I,20,24,0.60002418,26.85461578,0.260259843
EG-I,20,25,0.952479014,244.5599797,20.11827264
EG-I,20,26,1.200048359,93.56643527,6.32832656
EG-I,20,27,0.524169402,42.34497727,1.050042235
EG-I,20,28,0.363438764,27.26758282,1.519381718
EG-I,20,29,0.248588618,45.86726463,3.052148558
N4,20,30,2.424841728,174.8433404,16.16683201
N4,20,31,0.465412109,54.92475577,0.600251415
N4,20,32,0.660412063,54.20629936,3.084549717
N4,20,33,0.576923077,79.31558173,1.962434759
N4,20,34,1.66413412,123.2879581,9.63811445
N4,20,35,0.660412063,1.726031696,
N4,20,36,0.986524585,48.41566041,3.861454664
HG-IX,80,47,0.83206706,64.1536903,3.583463783
HG-IX,80,48,0.915808299,54.70819224,4.275908751
HG-IX,80,49,1.292712908,26.34472676,1.428231959
HG-IX,80,50,1.002699994,41.59886641,1.018645816
HG-IX,80,51,0.557013107,58.10084581,3.441383674
HG-IX,80,52,0.755983094,48.96475744,1.615062145
HG-IX,80,53,0.660412063,25.4500637,8.548593048
HG-IX,80,54,0.512252309,5.508201663,0.405004318
HG-IX,80,55,0.535567942,28.89401306,1.628369844
HG-IX,80,56,0.288461538,15.77349314,1.776366907
HG-IX,80,57,0.45790415,24.45557274,5.802941646
HG-IX,80,58,0.41603353,15.99230202,1.627820175
HG-IX,80,59,0.45790415,41.63053985,2.404652982
HG-IX,80,60,0.442101596,4.856296296,0.44090442
HG-IX,80,61,0.337386662,27.19389607,4.29769069
HG-IX,80,62,0.952479014,20.99593231,1.346997161
HG-IX,80,63,0.313202033,39.34697229,3.719784851
HG-IX,80,64,0.363438764,20.86072664,3.85519891
HG-IX,80,65,0.493262292,42.03367297,0.633243256
HG-IX,80,66,0.535567942,17.26545894,0.873747119
HG-IX,80,67,0.288461538,19.28772142,0.926263872
HG-IX,80,68,0.363438764,5.650898345,0.179667623
