"","Region","N","length","length.median","dist","dist.median","ice.pres","velo","from.ice.pro"
"1","EGC",155,212.878460051613,206.535599,89.1364239483871,90.509946,107,"60",0.690322580645161
"2","N",155,205.721321832258,179.411306,92.8112051806452,74.513168,39,"60",0.251612903225806
"3","WSC",155,226.376414993548,215.454655,102.176356296774,86.115575,5,"60",0.032258064516129
"4","EGC",155,610.828638683871,604.721451,190.805604993548,175.615697,92,"20",0.593548387096774
"5","N",155,580.936113554839,561.487753,195.656320677419,163.262595,38,"20",0.245161290322581
"6","WSC",155,577.075408245161,545.016693,194.320997554839,177.058032,29,"20",0.187096774193548
"7","EGC",155,251.280925290323,246.44308,104.403848096774,102.683572,94,"measured",0.606451612903226
"8","N",155,247.013438741935,244.872681,100.180487948387,80.561447,29,"measured",0.187096774193548
"9","WSC",155,425.388424587097,390.748932,145.990930335484,121.339941,29,"measured",0.187096774193548
